B2D1 D Dis,B2D1 D Force,B2D1 ND Dis,B2D1 ND Force,B1D2 D Dis,B1D2 D Force,B1D2 ND Dis,B1D2 ND Force,B1D3 D Dis,B1D3 D Force,B1D3 ND Dis,B1D3 ND Force
,,1.468,135.7223923,,,,,,,,
,,1.472,137.2216332,,,,,,,,
,,1.476,138.7344811,,,,,,,,
,,1.48,140.260806,,,,,,,,
,,1.484,141.8008677,,,,,,,,
,,1.488,143.3547939,,,,,,,,
,,1.492,144.9226249,,,,,,,,
,,1.496,146.5044471,,,,,,,,
,,1.5,148.1003812,,,,,,,,
,,1.504,149.7105797,,,,,,,,
,,1.508,151.3351223,,,,,,,,
,,1.512,152.9741032,,,,,,,,
,,1.516,154.6276549,,,,,,,,
,,1.52,156.2901309,,,,,,,,
,,1.524,157.9647631,,,,,,,,
,,1.528,159.6543272,,,,,,,,
,,1.532,161.3587757,,,,,,,,
,,1.536,163.0787531,,,,,,,,
,,1.54,164.8136187,,,,,,,,
,,1.544,166.5640192,,,,,,,,
,,1.548,168.3299008,,,,,,,,
,,1.552,170.1112714,,,,,,,,
,,1.556,171.9083852,,,,,,,,
,,1.56,173.7212376,,,,,,,,
,,1.564,175.5379081,,,,,,,,
,,1.568,177.3693788,,,,,,,,
,,1.572,179.2166006,,,,,,,,
,,1.576,181.0806192,,,,,,,,
,,1.58,182.9607516,,,,,,,,
,,1.584,184.8577786,,,,,,,,
,,1.588,186.7716136,,,,,,,,
,,1.592,188.6929655,,,,,,,,
,,1.596,190.6165176,,,,,,,,
,,1.6,192.5574474,,,,,,,,
,,1.604,194.5160517,,,,,,,,
,,1.608,196.4915341,,,,,,,,
,,1.612,198.4682299,,,,,,,,
,,1.616,200.4221042,,,,,,,,
,,1.62,202.3952903,,,,,,,,
,,1.624,204.1458235,,,,,,,,
,,1.628,204.91984,,,,,,,,
,,1.632,196.3153239,,,,,,,,
,,1.636,176.6087134,,,,,,,,
,,1.64,145.1195709,,,,,,,,
,,1.644,101.5061235,,,,,,,,
,,1.648,44.57894653,,,,,,,,
,,1.652,24.41578115,,,,,,,,
,,1.656,19.16652239,,,,,,,,
,,1.66,24.2417075,,,,,,,,
,,1.664,22.44541766,,,,,,,,
,,1.668,21.23141066,,,,,,,,
,,1.672,20.41320249,,,,,,,,
,,1.676,21.01294037,,,,,,,,
,,1.68,23.17362489,,,,,,,,
,,1.684,23.8404709,,,,,,,,
,,1.688,22.32281839,,,,,,,,
,,1.692,20.40592333,,,,,,,,
,,1.696,20.97177151,,,,,,,,
,,1.7,21.44352543,,,,,,,,
,,1.704,21.31610185,,,,,,,,
,,1.708,22.01952449,,,,,,,,
,,1.712,20.88217731,,,,,,,,
,,1.716,21.35521042,,,,,,,,
,,1.72,21.66790694,,,,,,,,
,,1.724,21.66302081,,,,,,,,
,,1.728,21.95807561,,,,,,,,
,,1.732,20.02133141,,,,,,,,
,,1.736,20.09959934,,,,,,,,
,,1.74,20.91655129,,,,,,,,
,,1.744,20.93823817,,,,,,,,
,,1.748,21.33779392,,,,,,,,
,,1.752,20.34843932,,,,,,,,
,,1.756,20.26077532,,,,,,,,
,,1.76,20.72133884,,,,,,,,
,,1.764,20.96841357,,,,,,,,
,,1.768,20.59031317,,,,,,,,
,,1.772,19.70283532,,,,,,,,
,,1.776,20.201535,,,,,,,,
,,1.78,19.9467778,,,,,,,,
,,1.784,20.3544228,,,,,,,,
,,1.788,20.78604745,,,,,,,,
,,1.792,19.79523663,,,,,,,,
,,1.796,20.04849184,,,,,,,,
,,1.8,19.87984834,,,,,,,,
