U2,Lambda,Force,RF2,,,,Lambda Crack,Crack Length,,,Time,U2,Lambda2,Force2,,,LambdaC2,Crack2
1.28E-02,1.00255246,1.159,1.16E-03,,,0.0500501,1.002002004,13,,,14.21,2.842,1.5684,4.60053,,14.21,1.5684,13
1.39E-02,1.00277204,1.247,1.25E-03,,,0.0524456,1.002097824,13,,,14.235,2.847,1.5694,4.59059,,14.235,1.5694,13.1
1.51E-02,1.00301168,1.358,1.36E-03,,,0.05544,1.0022176,13,,,14.2413,2.84826,1.569652,4.58855,,14.2413,1.569652,13.1
1.63E-02,1.0032513,1.439,1.44E-03,,,0.059183,1.00236732,13,,,14.2507,2.85014,1.570028,4.58473,,14.2507,1.570028,13.25
1.78E-02,1.00355084,1.578,1.58E-03,,,0.0638618,1.002554472,13,,,14.2647,2.85294,1.570588,4.57596,,14.2647,1.570588,13.65
1.93E-02,1.0038504,1.681,1.68E-03,,,0.0685406,1.002741624,13,,,14.2858,2.85716,1.571432,4.56569,,14.2858,1.571432,14.05
2.11E-02,1.00422482,1.851,1.85E-03,,,0.07424,1.0029696,13,,,14.3069,2.86138,1.572276,4.54886,,14.3069,1.572276,14.65
2.35E-02,1.00469286,2.026,2.03E-03,,,0.0799395,1.00319758,13,,,14.3122,2.86244,1.572488,4.54189,,14.3122,1.572488,14.85
2.64E-02,1.0052779,2.27,2.27E-03,,,0.0870638,1.003482552,13,,,14.3175,2.8635,1.5727,4.53577,,14.3175,1.5727,15.05
2.98E-02,1.0059675,2.546,2.55E-03,,,0.0959691,1.003838764,13,,,14.3227,2.86454,1.572908,4.52947,,14.3227,1.572908,15.25
3.33E-02,1.0066571,2.824,2.82E-03,,,0.107101,1.00428404,13,,,14.3307,2.86614,1.573228,4.52304,,14.3307,1.573228,15.45
3.76E-02,1.0075191,3.177,3.18E-03,,,0.121015,1.0048406,13,,,14.3336,2.86672,1.573344,4.52122,,14.3336,1.573344,15.45
4.30E-02,1.0085966,3.6,3.60E-03,,,0.138409,1.00553636,13,,,14.3347,2.86694,1.573388,4.51632,,14.34,1.5736,15.85
4.94E-02,1.00987946,4.125,4.12E-03,,,0.155802,1.00623208,13,,,14.3358,2.86716,1.573432,4.51599,,14.3457,1.573828,16.05
5.58E-02,1.01116232,4.631,4.63E-03,,,0.177544,1.00710176,13,,,14.337,2.8674,1.57348,4.5158,,14.3502,1.574008,16.25
6.22E-02,1.01244518,5.158,5.16E-03,,,0.199285,1.0079714,13,,,14.3381,2.86762,1.573524,4.5154,,14.3541,1.574164,16.25
6.86E-02,1.01372806,5.662,5.66E-03,,,0.221027,1.00884108,13,,,14.3385,2.8677,1.57354,4.51489,,14.3543,1.574172,16.45
7.59E-02,1.01518362,6.251,6.25E-03,,,0.242769,1.00971076,13,,,14.3391,2.86782,1.573564,4.51404,,14.3585,1.57434,16.65
8.32E-02,1.01663918,6.823,6.82E-03,,,0.261061,1.01044244,13,,,14.34,2.868,1.5736,4.5096,,14.3628,1.574512,16.65
9.05E-02,1.01809474,7.41,7.41E-03,,,0.279354,1.01117416,13,,,14.3415,2.8683,1.57366,4.50931,,14.3669,1.574676,16.85
9.87E-02,1.01973126,8.049,8.05E-03,,,0.297646,1.01190584,13,,,14.3429,2.86858,1.573716,4.50901,,14.3711,1.574844,17.05
1.07E-01,1.0213678,8.702,8.70E-03,,,0.315939,1.01263756,13,,,14.3443,2.86886,1.573772,4.50748,,14.3744,1.574976,17.25
1.16E-01,1.0232508,9.436,9.44E-03,,,0.334231,1.01336924,13,,,14.3457,2.86914,1.573828,4.50286,,14.3756,1.575024,17.45
1.26E-01,1.0251336,10.18,1.02E-02,,,0.352524,1.01410096,13,,,14.3471,2.86942,1.573884,4.50246,,14.3791,1.575164,17.65
1.37E-01,1.027306,11.024,1.10E-02,,,0.372484,1.01489936,13,,,14.3598,2.87196,1.574392,4.48169,,14.3826,1.575304,17.85
1.47E-01,1.0294784,11.874,1.19E-02,,,0.392444,1.01569776,13,,,14.3604,2.87208,1.574416,4.4816,,14.3848,1.575392,18.05
1.60E-01,1.0320628,12.87,1.29E-02,,,0.412404,1.01649616,13,,,14.3613,2.87226,1.574452,4.48119,,14.3887,1.575548,18.25
1.73E-01,1.0346472,13.873,1.39E-02,,,0.432364,1.01729456,13,,,14.3677,2.87354,1.574708,4.46743,,14.3912,1.575648,18.25
1.89E-01,1.0377618,15.064,1.51E-02,,,0.455552,1.01822208,13,,,14.368,2.8736,1.57472,4.46738,,14.3928,1.575712,18.45
2.04E-01,1.0408766,16.262,1.63E-02,,,0.478741,1.01914964,13,,,14.3686,2.87372,1.574744,4.4673,,14.3952,1.575808,18.65
2.23E-01,1.0446864,17.705,1.77E-02,,,0.501929,1.02007716,13,,,14.3695,2.8739,1.57478,4.46674,,14.3994,1.575976,18.85
2.42E-01,1.0484962,19.156,1.92E-02,,,0.528427,1.02113708,13,,,14.3708,2.87416,1.574832,4.46468,,14.4023,1.576092,19.05
2.66E-01,1.053231,20.933,2.09E-02,,,0.554924,1.02219696,13,,,14.3708,2.87416,1.574832,4.4643,,14.4068,1.576272,19.45
2.90E-01,1.057966,22.718,2.27E-02,,,0.585633,1.02342532,13,,,14.3709,2.87418,1.574836,4.46388,,14.4113,1.576452,19.85
3.19E-01,1.0638846,24.917,2.49E-02,,,0.616341,1.02465364,13,,,14.3779,2.87558,1.575116,4.45067,,14.4157,1.576628,20.25
3.49E-01,1.0698032,27.129,2.71E-02,,,0.651134,1.02604536,13,,,14.3791,2.87582,1.575164,4.44585,,14.4202,1.576808,20.65
3.86E-01,1.0772014,29.858,2.99E-02,,,0.685927,1.02743708,13,,,14.3795,2.8759,1.57518,4.44536,,14.4229,1.576916,20.85
4.23E-01,1.0845996,32.608,3.26E-02,,,0.727027,1.02908108,13,,,14.3801,2.87602,1.575204,4.44475,,14.4258,1.577032,21.25
4.69E-01,1.0938476,36.011,3.60E-02,,,0.768126,1.03072504,13,,,14.3895,2.8779,1.57558,4.42282,,14.4269,1.577076,21.45
5.27E-01,1.1054074,40.281,4.03E-02,,,0.816944,1.03267776,13,,,14.3902,2.87804,1.575608,4.42212,,14.4284,1.577136,21.65
5.85E-01,1.1169672,44.634,4.46E-02,,,0.865762,1.03463048,13,,,14.4023,2.88046,1.576092,4.39222,,14.4306,1.577224,21.85
6.57E-01,1.1314168,50.113,5.01E-02,,,0.92436,1.0369744,13,,,14.4113,2.88226,1.576452,4.3623,,14.434,1.57736,22.25
