U2,Lambda,Force,RF2,,,,Lambda Crack,Crack Length,,,Time,U2,Lambda2,Force2,,,LambdaC2,Crack2
2.02568,1.405136,0.992,9.92E-04,,,10.2069,1.408276,40,,,,,,,,,,
2.0266,1.40532,0.039,3.90E-05,,,10.2113,1.408452,40,,,,,,,,,,
2.02751,1.405502,-1.149,-1.15E-03,,,10.2156,1.408624,40,,,,,,,,,,
2.02843,1.405686,1.529,1.53E-03,,,10.2211,1.408844,40,,,,,,,,,,
2.02934,1.405868,-1.012,-1.01E-03,,,10.2265,1.40906,40,,,,,,,,,,
2.03025,1.40605,0.103,1.03E-04,,,10.232,1.40928,40,,,,,,,,,,
2.0314,1.40628,0.496,4.96E-04,,,10.2375,1.4095,40,,,,,,,,,,
2.03283,1.406566,-0.75,-7.50E-04,,,10.2429,1.409716,40,,,,,,,,,,
2.03426,1.406852,0.853,8.53E-04,,,10.2498,1.409992,40,,,,,,,,,,
2.03569,1.407138,-0.844,-8.44E-04,,,10.2566,1.410264,40,,,,,,,,,,
2.03747,1.407494,0.727,7.27E-04,,,10.2634,1.410536,40,,,,,,,,,,
2.03926,1.407852,-0.533,-5.33E-04,,,10.2702,1.410808,40,,,,,,,,,,
2.04104,1.408208,0.262,2.62E-04,,,10.2771,1.411084,40,,,,,,,,,,
2.04283,1.408566,0.058,5.78E-05,,,10.2839,1.411356,40,,,,,,,,,,
2.04462,1.408924,-0.372,-3.72E-04,,,10.2907,1.411628,40,,,,,,,,,,
2.0464,1.40928,0.61,6.10E-04,,,10.2975,1.4119,40,,,,,,,,,,
2.04864,1.409728,-0.682,-6.82E-04,,,10.3061,1.412244,40,,,,,,,,,,
2.05087,1.410174,0.655,6.55E-04,,,10.3146,1.412584,40,,,,,,,,,,
2.0531,1.41062,-0.54,-5.40E-04,,,10.3231,1.412924,40,,,,,,,,,,
2.05589,1.411178,0.382,3.82E-04,,,10.3338,1.413352,40,,,,,,,,,,
2.05938,1.411876,-0.233,-2.33E-04,,,10.3471,1.413884,40,,,,,,,,,,
2.06287,1.412574,0.093,9.30E-05,,,10.3638,1.414552,40,,,,,,,,,,
2.06636,1.413272,0.03,2.97E-05,,,10.3763,1.415052,40,,,,,,,,,,
2.06985,1.41397,-0.129,-1.29E-04,,,10.3888,1.415552,40,,,,,,,,,,
2.07334,1.414668,0.201,2.01E-04,,,10.4044,1.416176,40,,,,,,,,,,
2.07683,1.415366,-0.247,-2.47E-04,,,10.4239,1.416956,40,,,,,,,,,,
2.08032,1.416064,0.267,2.67E-04,,,10.4483,1.417932,40,,,,,,,,,,
2.08381,1.416762,-0.265,-2.65E-04,,,10.4788,1.419152,40,,,,,,,,,,
2.0873,1.41746,0.246,2.46E-04,,,10.5093,1.420372,40,,,,,,,,,,
2.09166,1.418332,-0.213,-2.13E-04,,,10.5398,1.421592,40,,,,,,,,,,
2.09711,1.419422,0.177,1.77E-04,,,10.578,1.42312,40,,,,,,,,,,
2.10256,1.420512,-0.142,-1.42E-04,,,10.6161,1.424644,40,,,,,,,,,,
2.10801,1.421602,0.11,1.10E-04,,,10.6543,1.426172,40,,,,,,,,,,
2.11483,1.422966,-0.083,-8.27E-05,,,10.6924,1.427696,40,,,,,,,,,,
2.12164,1.424328,0.059,5.90E-05,,,10.7305,1.42922,40,,,,,,,,,,
2.12846,1.425692,-0.039,-3.86E-05,,,10.7687,1.430748,40,,,,,,,,,,
2.13527,1.427054,0.022,2.15E-05,,,10.8163,1.432652,40,,,,,,,,,,
2.14379,1.428758,-0.009,-9.47E-06,,,10.8759,1.435036,40,,,,,,,,,,
2.15444,1.430888,0.001,1.28E-06,,,10.9355,1.43742,40,,,,,,,,,,
2.16508,1.433016,0.005,5.31E-06,,,10.9951,1.439804,40,,,,,,,,,,
2.17573,1.435146,-0.011,-1.06E-05,,,11.0696,1.442784,40,,,,,,,,,,
2.18904,1.437808,0.013,1.33E-05,,,11.1627,1.446508,40,,,,,,,,,,
2.18913,1.437826,-0.027,-2.72E-05,,,11.2558,1.450232,40,,,,,,,,,,
2.18922,1.437844,-0.064,-6.39E-05,,,11.3489,1.453956,40,,,,,,,,,,
2.18932,1.437864,-0.087,-8.71E-05,,,11.442,1.45768,40,,,,,,,,,,
2.18943,1.437886,-0.08,-8.01E-05,,,11.5351,1.461404,40,,,,,,,,,,
2.18957,1.437914,-0.023,-2.27E-05,,,11.6282,1.465128,40,,,,,,,,,,
2.18975,1.43795,0.052,5.17E-05,,,11.7213,1.468852,40,,,,,,,,,,
2.18998,1.437996,0.067,6.68E-05,,,11.8377,1.473508,40,,,,,,,,,,
2.19026,1.438052,-0.021,-2.13E-05,,,11.9541,1.478164,40,,,,,,,,,,
2.19061,1.438122,-0.069,-6.87E-05,,,12.0705,1.48282,40,,,,,,,,,,
2.19104,1.438208,0.049,4.91E-05,,,12.1868,1.487472,40,,,,,,,,,,
2.19159,1.438318,0.032,3.15E-05,,,12.3032,1.492128,40,,,,,,,,,,
2.19227,1.438454,-0.063,-6.27E-05,,,12.4196,1.496784,40,,,,,,,,,,
2.19313,1.438626,0.041,4.09E-05,,,12.5651,1.502604,40,,,,,,,,,,
2.1942,1.43884,-0.009,-9.47E-06,,,12.7106,1.508424,40,,,,,,,,,,
2.19553,1.439106,-0.009,-9.18E-06,,,12.856,1.51424,40,,,,,,,,,,
2.1972,1.43944,0.016,1.57E-05,,,13.0015,1.52006,40,,,,,,,,,,
2.19929,1.439858,-0.016,-1.64E-05,,,13.147,1.52588,40,,,,,,,,,,
2.20189,1.440378,0.015,1.53E-05,,,13.3288,1.533152,40,,,,,,,,,,
2.20515,1.44103,-0.014,-1.39E-05,,,13.5107,1.540428,40,,,,,,,,,,
2.20923,1.441846,0.013,1.26E-05,,,13.6925,1.5477,40,,,,,,,,,,
2.21432,1.442864,-0.011,-1.15E-05,,,13.8744,1.554976,40,,,,,,,,,,
2.22068,1.444136,0.01,1.00E-05,,,14.1017,1.564068,40,,,,,,,,,,
2.22864,1.445728,-0.009,-9.07E-06,,,14.329,1.57316,40,,,,,,,,,,
2.23859,1.447718,0.008,7.93E-06,,,14.5563,1.582252,40,,,,,,,,,,
2.25102,1.450204,-0.007,-6.85E-06,,,14.8404,1.593616,40,,,,,,,,,,
2.26656,1.453312,0.006,5.84E-06,,,15.1246,1.604984,40,,,,,,,,,,
2.2821,1.45642,-0.005,-4.97E-06,,,15.4087,1.616348,40,,,,,,,,,,
2.29764,1.459528,0.004,4.21E-06,,,15.7639,1.630556,40,,,,,,,,,,
2.31318,1.462636,-0.004,-3.55E-06,,,16.2078,1.648312,40,,,,,,,,,,
2.32872,1.465744,0.003,2.98E-06,,,16.6518,1.666072,40,,,,,,,,,,
2.34426,1.468852,-0.002,-2.48E-06,,,17.0958,1.683832,40,,,,,,,,,,
2.34814,1.469628,0.002,2.07E-06,,,17.6507,1.706028,40,,,,,,,,,,
2.353,1.4706,-0.002,-1.63E-06,,,18.2057,1.728228,40,,,,,,,,,,
2.35907,1.471814,0.001,1.16E-06,,,18.7606,1.750424,40,,,,,,,,,,
2.36666,1.473332,-0.001,-7.81E-07,,,19.3156,1.772624,40,,,,,,,,,,
2.37614,1.475228,0,4.52E-07,,,20,1.8,40,,,,,,,,,,
2.388,1.4776,0,-1.94E-07,,,,,,,,,,,,,,,
2.40282,1.480564,0,9.49E-09,,,,,,,,,,,,,,,
2.42134,1.484268,0,1.20E-07,,,,,,,,,,,,,,,
2.4445,1.4889,0,-2.04E-07,,,,,,,,,,,,,,,
2.46765,1.49353,0,2.73E-07,,,,,,,,,,,,,,,
2.49081,1.498162,0,-3.26E-07,,,,,,,,,,,,,,,
2.51976,1.503952,0,3.66E-07,,,,,,,,,,,,,,,
2.55594,1.511188,0,-3.51E-07,,,,,,,,,,,,,,,
2.59212,1.518424,0,3.51E-07,,,,,,,,,,,,,,,
2.6283,1.52566,0,-3.43E-07,,,,,,,,,,,,,,,

